A18QU0YQB6Q8DF_a.mp4	ID	before you get to Australia<br>it is long looks like an island skinny
A18QU0YQB6Q8DF_a.mp4	PK	XXX is beside India<br>left
A18QU0YQB6Q8DF_a.mp4	IT	which country looks like a boot
A18QU0YQB6Q8DF_a.mp4	LY	look across from Italy and you'll see XXX<br>Italy<br>down under Italy
A18QU0YQB6Q8DF_a.mp4	BO	in the central Central America<br>it's next to Brazil<br>looking upside down looks like a squirrel
A18QU0YQB6Q8DF_a.mp4	NP	XXX is between China and India<br>it is a long skinny line<br>very small
A18QU0YQB6Q8DF_a.mp4	GY	in Central America<br>beside Brazil<br>next to you have Venezuela<br>it looks like a chess piece
A18QU0YQB6Q8DF_a.mp4	AT	XXX is right above Italy<br>it is next to Germany<br>squared with a little wand with a little wand to the left
A18QU0YQB6Q8DF_a.mp4	SO	it is on the ocean<br>in on the African continent<br>XXX it looks like a looks like a shoe<br>it looks like a high heel shoe
A18QU0YQB6Q8DF_a.mp4	PG	at the end of Indonesia<br>on the ocean an Island<br>before Australia
A18QU0YQB6Q8DF_a.mp4	ZM	is in the African continent<br>Namibia Botswa Botswana and Zimbabwe<br>maybe three countries is XXX<br>it looks like a baby almost
A18QU0YQB6Q8DF_a.mp4	KZ	it is beside the Russian Federation<br>above China<br>the left side<br>it looks like a possibly a duck
A18QU0YQB6Q8DF_a.mp4	FI	XXX is right beside Russia<br>at the top on the left<br>near Sweden<br>it looks like a snow boot
A18QU0YQB6Q8DF_a.mp4	JP	you look in the ocean<br>XXX is a string of islands in the ocean
A18QU0YQB6Q8DF_a.mp4	NG	to the left in the curve of the continent<br>between Benin and Cameroon is XXX<br>like a pair of underwear<br>squared with legs legs cut-out
A3DKYNYN50FYFY_a.mp4	ID	Asia<br>between Asia<br>Australia<br>and Australia<br>it covers a uh<br>large number of islands<br>it's it's on the right right side
A3DKYNYN50FYFY_a.mp4	PK	it's in Asia<br>Asia<br>and seems to be Northwest of India
A3DKYNYN50FYFY_a.mp4	LY	this is an African nation<br>it's is if you're on the island of Sicily go immediately South of that and it is it's a large it's not a small nation it's a larger nation<br>it's Northern Africa<br>and it's immediately if you you are on the portion of Italy you had immediately south across the body of water
A3DKYNYN50FYFY_a.mp4	BO	this is a country in South America<br>it's on the left side of South America<br>but it's it's not on the water<br>it's landlocked<br>it appears to be next to Brazil<br>it's at the same level as Brazil<br>it is to the left of Brazil<br>it is landlocked<br>it looks sort of like a hat kind of
A3DKYNYN50FYFY_a.mp4	NP	this is in Asia<br>and<br>it is to the right of Pakistan<br>it's to the right of India<br>it's it's a skinny small and it's skinny
A3DKYNYN50FYFY_a.mp4	IN	it is below China<br>and it is just North of XXX
A3DKYNYN50FYFY_a.mp4	GY	back in South America<br>in the north part of South America<br>it's a little little country<br>that is north of Brazil<br>it's just to the right of Venezuela I believe<br>it is is north of Bolivia<br>north of Brazil<br>looks like sort of looks like a woman's body without the head and without the legs no arms
A3DKYNYN50FYFY_a.mp4	AT	in Europe<br>this is just below the Czech Republic<br>below Germany<br>it's it's on the right it's above Italy<br>slightly above Hungary
A3DKYNYN50FYFY_a.mp4	SO	in Africa<br>it's on the right side of Africa<br>it come it sort of jets out on the point<br>sort of in the middle of the continent<br>it's it's beneath Saudi Arabia and Yemen separated by water<br>separated by water
A3DKYNYN50FYFY_a.mp4	PG	just north of Australia<br>this is a country that is half of an it's on half of an island
A3DKYNYN50FYFY_a.mp4	ZM	it's another country in Africa in the southern part of Africa<br>it's<br>in the middle of the continent<br>the lower the lower part of the continent<br>it's beneath<br>Democratic Republic of the Congo<br>it's north of South Africa it's separated by Zimbabwe Botswana<br>you go straight up two countries go two countries straight up from South Africa<br>in the middle of South Africa
A3DKYNYN50FYFY_a.mp4	KZ	it is it borders Russia<br>it's on the left<br>it's underneath the left most portion of Russia left portion of Russia
ALI92G1065WRG_a.mp4	ID	it's down towards the bottom right there is a<br>if you go to the left of that big area and right above it<br>there's a bunch of like a series of islands<br>right above Australia
ALI92G1065WRG_a.mp4	AU	like a big area like the biggest area<br>n the bottom right
ALI92G1065WRG_a.mp4	SO	if you go to<br>go to Africa<br>and then to the right<br>of Africa<br>on the like the right side of Africa there's a point<br>all the way on the far right of Africa<br>and it has a has a point on the end of it<br>it is is the east most country in Africa<br>and it has a point at the far right of it
ALI92G1065WRG_a.mp4	IN	if you follow that point<br>to the right there is on the next continent in XXX
